id,category,question,keywords,answer
faq_logistics_001,物流,快递多久能到？物流到哪了怎么查？,快递|物流|到货|几天到|查询|到哪了|运输|配送时间,常规订单发出后 48 小时内可查物流；同城 1-2 天、跨省 2-5 天送达。可在订单详情页点击『查看物流』实时查询，也可把运单号发给客服代查。
faq_logistics_002,物流,订单什么时候发货？长时间未发货怎么办？,发货|没发货|什么时候发|催发货|迟迟不发|备货,现货商品 24 小时内发货，预售商品按页面标注的预售期发货。超时未发货可在订单页申请『发货超时补偿』，或联系客服登记加急处理。
faq_order_001,订单,订单号丢了怎么找回订单？,订单号|找不到订单|找回|查询订单|忘记订单,无需订单号也可查询：用下单手机号登录 App → 我的订单 即可看到全部订单；或提供下单手机号+收件人姓名，客服可代为查询。
faq_order_002,订单,怎么修改收货地址？已经下单了还能改吗？,地址|收货地址|改地址|修改地址|填错了,订单未发货时可在『订单详情 → 修改地址』自助修改；已发货的订单无法改址，可选择到货拒收后重新下单，或联系客服尝试拦截快递。
faq_aftersale_001,售后,退货流程是什么？运费谁承担？,退货|退款|退换货|运费|七天无理由|退回去,签收后 7 天内可申请无理由退货：订单详情 → 申请售后 → 选择退货退款，系统生成退货地址，寄回并填运单号即可。质量问题运费商家承担；无理由退货运费买家承担。退款在仓库验收后 1-3 个工作日原路退回。
faq_aftersale_002,售后,收到的商品有质量问题/破损怎么办？,质量|破损|坏了|瑕疵|掉漆|开线|碎,请在签收后 48 小时内拍照或录像留证，在订单页申请『质量问题退货』并上传凭证；审核通过后运费由商家承担，可安排上门取件，也可选择补发或部分退款。
faq_payment_001,支付,支持哪些付款方式？付款失败了怎么办？,付款|支付|支付失败|微信|支付宝|银行卡|扣款,支持微信支付、支付宝、主流银行卡及平台余额。支付失败请先确认余额/额度，再检查是否超时（订单 30 分钟未支付自动关闭）；如已扣款但订单未变，通常是银行侧延迟，10 分钟内会自动冲正或到账。
faq_invoice_001,发票,怎么开发票？可以开专票吗？,发票|开票|专票|增值税|电子发票|抬头,电子发票在订单完成后于『订单详情 → 申请开票』自助开具，支持个人及企业抬头，一般 1-3 个工作日发送到邮箱；增值税专用发票请联系客服线下提交资料。
faq_account_001,账户,怎么修改绑定手机号/登录密码？,手机号|换绑|密码|修改密码|忘记密码|账户安全,『账户设置 → 安全中心』可自助换绑手机号（原手机号收验证码；无法收码走人工申诉）和重置登录密码。密码建议 8 位以上且含字母数字组合。
faq_activity_001,活动,优惠券怎么用？为什么用不了？,优惠券|红包|折扣|满减|用不了|过期,下单页勾选『优惠券』即可抵扣。常见不可用原因：已过期、不满足门槛金额、限定品类不匹配、或该商品本身不与券叠加；券面详情页有完整使用规则。
